HALF_SED/SED10000.res     
I FRAC, IRAS12, IRAS25, WISE12, WISE22,IRC9, IRC18, IRAS12/IRC9, IRAS25/IRC9, WISE12/IRC9, WISE25/IRC9, IRC18/IRC9
  0.0,  5.2891781E+04,  2.1637127E+05,  5.7478967E+04,  1.9090400E+05,  2.9708726E+04,  1.3542162E+05,  1.7803449E+00,  7.2830881E+00,  1.9347503E+00,  6.4258560E+00,  4.5583113E+00
  0.2,  5.1225839E+04,  2.1486818E+05,  5.5454622E+04,  1.8967545E+05,  3.1865379E+04,  1.3343431E+05,  1.6075704E+00,  6.7429977E+00,  1.7402781E+00,  5.9523991E+00,  4.1874383E+00
  0.4,  4.9559897E+04,  2.1336508E+05,  5.3430277E+04,  1.8844690E+05,  3.4022031E+04,  1.3144699E+05,  1.4567001E+00,  6.2713798E+00,  1.5704611E+00,  5.5389669E+00,  3.8635845E+00
  0.6,  4.7893956E+04,  2.1186198E+05,  5.1405932E+04,  1.8721836E+05,  3.6178683E+04,  1.2945968E+05,  1.3238170E+00,  5.8559892E+00,  1.4208901E+00,  5.1748251E+00,  3.5783413E+00
  0.8,  4.6228014E+04,  2.1035888E+05,  4.9381587E+04,  1.8598981E+05,  3.8335335E+04,  1.2747236E+05,  1.2058852E+00,  5.4873364E+00,  1.2881480E+00,  4.8516547E+00,  3.3251923E+00
  1.0,  4.4562072E+04,  2.0885578E+05,  4.7357242E+04,  1.8476126E+05,  4.0491988E+04,  1.2548505E+05,  1.1005158E+00,  5.1579534E+00,  1.1695460E+00,  4.5629093E+00,  3.0990094E+00
