Region,ln(Md [kg/m2/sr]),sigma(ln(Md)),ln(<U> [Habings]),sigma(ln(<U>)),qPAH,sigma(qPAH),reduced chi-square
1,-18.12121848739643,0.3673029963007884,-0.9385851722360944,0.3774893482084757,0.01195782206577152,0.01333015102623866,0.2265473262956078
2,-17.68162341549098,0.2106169018968600,-1.388855091916659,0.1917785539976835,0.000000000000000,0.000000000000000,1.456335659221823
3,-15.34130011882854,0.5298571834283159,0.6208435790934915,0.5653531542320821,0.04169467611736780,0.01394009285512574,0.9278591881278869
4,-15.08090136804166,0.2542909481196836,1.017827804457784,0.2563605191773663,0.02489325414664073,0.006999896040510158,1.866854781464214
5,-14.86019607108442,0.3754882141811664,0.8667583742190111,0.3982624124986879,0.02319693455918794,0.007926966114637298,1.617081769824032
6,-15.20116618532153,0.3147477625876694,1.751555327229815,0.3109544438820907,0.03046534260895995,0.009477292895538765,2.264283332706814
7,-16.37677199567076,0.5289950444668908,1.640251988882411,0.5155507244675713,0.03227364340449507,0.01730820017980382,0.8556013052883372
8,-16.95282453910463,0.3099023303082991,-1.863198755385014,0.2895375700884134,0.02066620054226865,0.01034421634069172,3.211899732090915
9,-15.75545195679543,0.5014131559716155,0.1917949190555142,0.5168314699470411,0.04686358845952520,0.005203919104842315,3.449519659147272
10,-14.78111861901328,0.3257954038743943,1.387775232032064,0.3419888749747001,0.02552548693939327,0.006357419176327891,2.198441287069804
11,-15.64489303083336,0.4103205208303499,-0.009919833496888249,0.4279710350639213,0.02920846918749569,0.01322858282694670,0.5346339990497635
12,-15.26156389427673,0.4626976186001668,0.6340026717958090,0.4885716064649002,0.02373891421526779,0.008282999493588815,1.128955938868980
13,-18.14164478196534,1.248874658569556,1.287850355709053,1.211547848928682,0.02836107512258153,0.01858428772827652,0.3768138213398221
14,-15.73797120487591,0.5127217747981228,0.6771344611700895,0.5268363545313065,0.02261366051792625,0.009287343536131212,1.249584522943744
15,-16.22817432565611,0.4333905104829593,0.7119972961903344,0.4211753684176086,0.03357750804784589,0.01349622275072868,0.7535736674071500
16,-16.37265524676372,0.5129366604494323,0.3943833414551420,0.5358135111809602,0.04488692481721968,0.01293678522012446,0.5161208096149360
17,-16.54702088631230,0.3241789841684470,0.2314071441688270,0.3243046729126623,0.06519439054887172,0.01194693366248965,0.8846735441910514
18,-18.27420539677935,0.4081887156050574,1.917023866321753,0.3939715790654544,0.02483704035795355,0.008105937048454673,2.121391531373190
19,-17.73017962921816,0.5079905803462360,0.6388299424544205,0.5278413082560172,0.05612242245834087,0.01448325406092640,0.5439925991252346
20,-18.46733354343276,0.8320261671931821,0.7153370119980315,0.8660366229089186,0.009284296834928625,0.02317100860920177,0.5410205249703495
21,-17.54965137960016,0.6058228179473067,0.4215457106525765,0.6098130295699098,0.08478068718630545,0.02610243765069114,0.2477026865167259
22,-16.62211971286856,0.5026034269216088,0.4971714325191000,0.5080746417221447,0.04031319586237120,0.01056404584867989,0.6670774646491586
23,-18.34824030293685,0.6489197417523652,2.224959692428123,0.6252203547330065,0.03024032929082953,0.009797556624913377,0.8741911595559275
24,-16.04485037150342,0.3699228494592374,1.494161630373239,0.3719153996152441,0.02270716255709358,0.007177894726504498,1.414318788124585
25,-17.26563284982481,0.4093716416368972,0.7653608209574697,0.4081838737638984,0.02436895453778267,0.007933656133494451,0.8045754940753598
26,-17.84318275840205,1.502638056301982,-0.1900834946951620,1.459391468578062,0.1406580105481493,0.03187760927279940,1.972352731270908
27,-18.27783852671033,0.4658948650634998,0.6026328690647234,0.4589674417655551,0.03535578813760889,0.007894275116460512,0.7867787362874302
28,-18.76494096078555,0.8803598491275247,1.052829385827467,0.8935875662528230,0.03408960752851101,0.01562228259446199,0.2702501609426093
29,-18.27832120527456,0.5343381898659070,1.072787292713772,0.5281164679674050,0.03656440789990975,0.01029650138814248,0.5379067291703364
30,-17.09275281010267,0.2201954138244604,0.9263741627438244,0.2176164340827362,0.05908636124068454,0.007161821790005084,1.239833804359556
31,-17.42241073863599,0.4446572871268918,-0.2172874001196696,0.4459445271330819,0.05452649370544839,0.01840567215779295,0.8634757293205914
32,-17.09114573929909,0.7390369011584125,1.034675684832746,0.7509341879372962,0.03905842680956595,0.006019847660051259,2.511552306076830
33,-18.16723991588568,0.2163507356022886,2.301102196027500,0.2044968911315663,0.02541768637205488,0.006685768375337514,1.366181588141503
34,-18.41329252495612,0.2189663460733551,0.7857146799075873,0.2159431369902438,0.04281411377624838,0.005297237130605446,1.113434550299190
35,-16.65152121625053,0.2461801353351706,-1.918370573566626,0.2278396846944837,0.01731716107867882,0.009155102165634605,0.4381107260203002
36,-17.12365612560547,0.2203736053007014,2.225798545206964,0.2126429465347244,0.02997352342151303,0.004646405138308853,4.258242282912200
37,-16.89813236777593,0.2887312435890408,-0.3976819445946743,0.2795811076915588,0.09849744430426455,0.01780838617897064,0.6111034819500012
38,-17.11453552361313,0.3284447418992103,0.03169737458306240,0.3312292081468435,0.03256554257817223,0.006233184210365872,1.947411648248641
39,-16.49515250501768,0.2788843335924636,-1.558605612501935,0.2780903354146594,0.01801122752958022,0.007172888382384149,1.036413313516177
40,-16.89114420435989,0.2395684160111254,0.2243103737086188,0.2385720160144474,0.06948770658653901,0.008707310870071091,1.664955488968301
41,-19.69773773552807,0.2293436856347988,2.085959753893958,0.2072121796773298,0.06437730651817127,0.01081090991566603,0.9138390014088860
42,-19.14755040568069,0.1820120730156218,1.820265762595086,0.1748131257699141,0.1476407600822245,0.009513292924392838,2.482473232793153
43,-18.98663852497058,0.4285671202554147,1.336966137748846,0.4213939408522531,0.008241846924249695,0.008506675035773226,0.9315898210707708
44,-16.60528276106617,0.2176758260594665,0.01118666293792750,0.2164600316076830,0.05255809111831716,0.005409787670737847,2.712555415793248
45,-17.81282551769811,0.7693363172012629,-0.6890247975542991,0.7814764556465361,0.06443882967288143,0.01055653337859671,1.160734717446282
46,-17.13537279523731,0.5488783923964403,-1.116385679149988,0.5708804146912771,0.06768703875181262,0.01633976146198399,0.6878218381145561
47,-16.89990021410441,0.2567268026087045,0.4304648254925631,0.2659383246173989,0.05181152312028304,0.005583743579188173,2.441447401836670
48,-17.38938897852245,0.2488951069005206,-0.5557036027592774,0.2502102467947809,0.09496318754323040,0.02456076465058141,0.7969895882471963
49,-17.81378318047575,0.5538937508953997,0.6251213316176968,0.5624225047768877,0.05440725583208408,0.006758085560948941,3.773989203800638
50,-18.10770827847906,0.4239881531046000,0.2131774785496502,0.4045862468969852,0.06273724912937652,0.01113422156556268,0.8589775877241468
51,-16.50694669154378,0.2403316914864108,-0.7117912303878083,0.2398764298112107,0.05516170976056292,0.006831816125216199,1.133086795169775
52,-17.31703428160572,0.2380527132554159,-1.049016738150022,0.2341367679276579,0.05212194148866146,0.01165844130254901,0.4963430021016819
53,-18.34230721519678,0.4392365308979296,0.09786883362455981,0.4272185344918692,0.08731815226731636,0.01651551771978988,0.3338603835749270
54,-15.65542316521176,0.1552834245598427,2.082631099039034,0.1524337792760212,0.03614874163689467,0.004842773064966889,10.88752299052477
55,-18.32734039284711,0.2399288526759098,0.7056453690361966,0.2397419571566106,0.03638630661011507,0.005628381341099732,1.583303027461354
56,-17.14980627716210,0.2101804419928219,0.9232163705290767,0.2054909513012792,0.02076545954318779,0.003614363602721981,5.155396278017086
57,-17.71184435182802,0.3023859941343241,-0.1821190463874948,0.2937762333836273,0.05315461975827822,0.01081549458728510,0.8063703955368883
58,-17.49361012417519,0.2400509215829970,-0.7718856747809713,0.2394998974266442,0.06372789301363273,0.008088780559557637,1.148461084715031
59,-17.25254245353707,0.2858048490035232,-1.306601028476083,0.2778393291939850,0.07049558771688801,0.01331369078449607,0.4053278880637479
60,-17.08738099257156,0.2761569777172478,-0.1739140099297160,0.2753359312139667,0.06593689279127754,0.008436469132211176,0.7415183506795003
61,-16.97400794347663,0.5185183472185696,-1.077363271010598,0.4987682108301921,0.2107065611088642,0.03341077963349506,24.40265776723501
62,-19.97691635102843,0.5089171950489805,2.235051318123750,0.4830871904309396,0.06385240275581086,0.008579086573519839,2.028922717499273
63,-18.53233719269179,0.2371293381833841,-0.08135825264412987,0.2324517370224825,0.1391601209793287,0.01230654989395194,0.9630062652954073
64,-17.09200628934094,0.2748213778555010,0.1295880986869754,0.2744823432482912,0.08069354783715066,0.009839589595202033,2.226474142417761
65,-18.72687383268168,0.2050780483012721,-0.2872913750216494,0.1994372259037062,0.07074545164805913,0.009655144311780535,0.6405629682212994
66,-16.81574774581100,0.3031707476607761,-0.4318913629789112,0.2991130028125238,0.05290160333348889,0.01021949942826220,0.3929414033211361
67,-15.59242109114730,0.7656520768565410,-0.5810176586788139,0.7806110515853737,0.03649899330154531,0.006960650891856700,3.346056057118052
68,-17.21892885798665,0.2755172869881122,2.488668575597191,0.2702309184549553,0.02930697446135289,0.005134330463550454,2.340111406839774
69,-16.81070033772721,0.5268532835008316,-0.2628854619299281,0.5397020167452603,0.03503410871928042,0.01341793474451271,0.7088531149524304
70,-19.43094380706501,0.4763765285952979,2.758921769937341,0.4620135867159851,0.02972454041091899,0.007491099362469945,2.200626041670524
71,-16.00861285923141,0.3040786268219590,0.7206050607256709,0.3019131172232139,0.02433516134179129,0.006148783769425163,1.174784880811002
72,-16.47542029714085,0.2725114190545935,2.181060205676205,0.2638560070440381,0.03262345486089373,0.006771449901364764,2.916402010843500
73,-16.72926441733289,0.1660071446215345,3.402909718575654,0.1712559671751538,0.000000000000000,0.000000000000000,8.381819473929575
