wavelength	cirrus spectrum
38.009	0.44040
38.178	0.77360
38.347	0.67780
38.517	0.70880
38.686	0.51270
38.855	0.39130
39.025	0.23520
39.194	0.31580
39.363	0.21860
39.533	0.22650
39.702	0.15360
39.872	0.12630
40.041	0.093740
40.210	0.082620
40.380	0.065010
40.549	0.057950
40.718	0.051520
40.888	0.049200
41.057	0.054000
