Name,glon,glat,θ,EMff,EMff_err,τ250,τ250_err,Td,Td_err,βd,βd_err,ΔTCMB,ΔTCMB_err,Asp,Asp_err,σAME,νsp,νsp_err,fUCH_max,G0,G0_err,S_28.4_resid,S_28.4_resid_err,S_28.4_resid/S_100um,S_28.4_resid/S_100um_err,Chi^2
G192.60-00.06,192.6,-0.06,1.1,65,8,1,0.3,20.8,21.5,1.83,0.14,-7,10,3.8,0.9,4.3,27.2,0.9,0.5,2.9,1.3,3.2,1.2,1.6,0.7,0.12
G201.62+01.63,201.62,1.63,0.8,161,116,1.4,0.2,18,10.6,2.11,0.17,90,12,9.6,1.3,7.4,27.4,0.7,0.06,1.2,0.2,7.9,1.5,6.3,1.5,0.88
G203.24+02.08,203.24,2.08,1.6,103,19,3.8,1,16.9,10.9,1.77,0.09,19,10,7.8,0.9,8.3,30.3,2.1,0.02,0.8,0.2,6.6,1.9,4.3,1.4,0.55
G204.70-11.80,204.7,-11.8,2,23,6,2.1,0.2,16.5,10.3,1.84,0.06,7,7,6.6,0.9,7.4,30.1,1.9,0,0.7,0.09,5.8,1.2,9.5,2.5,1.23
G208.80-02.65,208.8,-2.65,0.9,124,18,0.8,0.2,19,10.8,1.64,0.13,12,10,1.8,0.9,2,,,,1.7,0.4,1.6,1.5,2.2,2.1,0.26
G209.01-19.38,209.01,-19.38,0.3,4278,42226,14.8,11.2,21.2,20.3,2.13,0.09,371,102,32,18,1.8,,,,3.1,0.3,24,19,0.5,0.4,1.13
G211.98-01.17,211.98,-1.17,0.8,164,110,0.8,0.1,20.4,20.4,1.65,0.09,59,8,4.8,0.9,5.5,27.3,0.8,0.14,2.5,0.3,3.9,1.1,3.4,1.1,0.94
G213.71-12.60,213.71,-12.6,0.6,68,5,2.7,0.2,20.1,20.2,1.73,0.05,13,8,7.6,0.5,14.9,27,1.1,3.93,2.31,0.17,6.5,1,1.4,0.3,1.45
G218.05-00.38,218.05,-0.38,1.2,10.3,11.4,0.8,0.3,19.9,11.4,1.51,0.12,-13,5,3.7,0.4,9.4,25.9,2.3,0.52,2.2,0.9,3.3,1.1,4.1,1.5,2.6
G219.18-08.93,219.18,-8.93,0.5,0.6,1.1,1.7,0.1,16.2,10.2,1.86,0.04,0,2,2,0.1,18.9,23.3,5.2,0,0.64,0.04,1.5,0.2,2.9,0.6,1.64
