HALF_SED/SED100.res       
I FRAC, IRAS12, IRAS25, WISE12, WISE22,IRC9, IRC18, IRAS12/IRC9, IRAS25/IRC9, WISE12/IRC9, WISE25/IRC9, IRC18/IRC9
  0.0,  3.5215888E+02,  4.5404724E+02,  3.3021800E+02,  3.3311796E+02,  2.4548948E+02,  3.0091547E+02,  1.4345172E+00,  1.8495589E+00,  1.3451412E+00,  1.3569541E+00,  1.2257775E+00
  0.2,  3.3585504E+02,  4.3900317E+02,  3.1031504E+02,  3.2077103E+02,  2.6628281E+02,  2.8104770E+02,  1.2612719E+00,  1.6486350E+00,  1.1653589E+00,  1.2046254E+00,  1.0554481E+00
  0.4,  3.1955119E+02,  4.2395911E+02,  2.9041207E+02,  3.0842411E+02,  2.8707615E+02,  2.6117992E+02,  1.1131235E+00,  1.4768176E+00,  1.0116203E+00,  1.0743634E+00,  9.0979317E-01
  0.6,  3.0324735E+02,  4.0891504E+02,  2.7050910E+02,  2.9607718E+02,  3.0786948E+02,  2.4131214E+02,  9.8498670E-01,  1.3282091E+00,  8.7864862E-01,  9.6169706E-01,  7.8381312E-01
  0.8,  2.8694350E+02,  3.9387097E+02,  2.5060613E+02,  2.8373025E+02,  3.2866282E+02,  2.2144436E+02,  8.7306349E-01,  1.1984044E+00,  7.6250223E-01,  8.6328674E-01,  6.7377371E-01
  1.0,  2.7063966E+02,  3.7882691E+02,  2.3070316E+02,  2.7138332E+02,  3.4945615E+02,  2.0157659E+02,  7.7445958E-01,  1.0840470E+00,  6.6017771E-01,  7.7658764E-01,  5.7682942E-01
